Publication Title,Publication Year,Journal Impact Factor
Journal of the American Academy of Child & Adolescent Psychiatry,1999,3.618
Journal of the American Academy of Child & Adolescent Psychiatry,1998,3.732
Journal of the American Academy of Child & Adolescent Psychiatry,1997,3.793
Journal of Substance Abuse Treatment,2016,2.868
Journal of Substance Abuse Treatment,2015,2.465
Journal of Substance Abuse Treatment,2014,1.996
Journal of Substance Abuse Treatment,2013,1.867
Journal of Substance Abuse Treatment,2012,1.985
Journal of Substance Abuse Treatment,2011,3.139
Journal of Substance Abuse Treatment,2010,2.805
Journal of Substance Abuse Treatment,2009,2.902
Journal of Substance Abuse Treatment,2008,2.067
Journal of Substance Abuse Treatment,2007,2.266
Journal of Substance Abuse Treatment,2006,2.013
Journal of Substance Abuse Treatment,2005,2.077
Journal of Substance Abuse Treatment,2004,2.034
Journal of Substance Abuse Treatment,2003,1.468
Journal of Substance Abuse Treatment,2002,1.157
Journal of Substance Abuse Treatment,2001,0.844
Journal of Substance Abuse Treatment,2000,0.914
Journal of Substance Abuse Treatment,1999,0.798
Journal of Substance Abuse Treatment,1998,0.633
Journal of Substance Abuse Treatment,1997,0.735
Journal of Sociology and Social Welfare,2000,0.139
Journal of Sociology and Social Welfare,1999,0.057
Journal of Sociology and Social Welfare,1998,0.095
Journal of Sociology and Social Welfare,1997,0.224
Journal of Social Work Practice,2016,0.949
Journal of Social Work Practice,2015,0.964
Journal of Social Work Practice,2014,0.379
Journal of Social Work Practice,2013,0.586
Journal of Social Work Practice,2012,0.695
Journal of Social Work Practice,2011,0.484
Journal of Social Work Practice,2010,0.281
Journal of Social Work Practice,2009,0.294
Journal of Social Work Practice,2008,0.333
Journal of Social Work Practice,2007,0.349
Journal of Social Work Practice,2006,0.4
Journal of Social Work Practice,2005,0.237
Journal of Social Work Practice,2004,0.312
Journal of Social Work Practice,2003,0.452
Journal of Social Work Practice,2002,0.385
Journal of Social Work Practice,2001,0.2
Journal of Social Work Practice,2000,0.154
Journal of Social Work Practice,1999,0.156
Journal of Social Work Practice,1998,0.13
Journal of Social Work Practice,1997,0.138
Journal of Social Work,2016,0.857
Journal of Social Work,2015,0.484
Journal of Social Work,2014,0.46
Journal of Social Work,2013,0.709
Journal of Social Work,2012,1.233
Journal of Social Work,2011,1
Journal of Social Work,2010,0.605
Journal of Social Service Research,2016,0.574
Journal of Social Service Research,2015,0.51
Journal of Social Service Research,2014,0.311
Journal of Social Service Research,2013,0.309
Journal of Social Service Research,2012,0.449
Journal of Social Service Research,2011,0.439
Journal of Social Service Research,2010,0.545
Journal of Social Service Research,2009,0.455
Journal of Social Service Research,2008,0.14
Journal of Social Service Research,2007,0.164
Journal of Social Service Research,2006,0.324
Journal of Social Service Research,2005,0.576
Journal of Social Service Research,2004,0.1
Journal of Social Service Research,2003,0.357
Journal of Social Service Research,2002,0.5
Journal of Social Service Research,2001,0.574
Journal of Social Service Research,2000,0.386
Journal of Social Service Research,1999,0.393
Journal of Social Service Research,1998,0.138
Journal of Social Service Research,1997,0.185
Journal of Social Issues,2016,1.463
Journal of Social Issues,2015,2.08
Journal of Social Issues,2014,1.529
Journal of Social Issues,2013,0.923
Journal of Social Issues,2012,1.857
Journal of Social Issues,2011,1.963
Journal of Social Issues,2010,1.519
Journal of Social Issues,2009,1.766
Journal of Social Issues,2008,1.483
Journal of Social Issues,2007,1.39
Journal of Social Issues,2006,1.136
Journal of Social Issues,2005,0.92
Journal of Social Issues,2004,1.771
Journal of Social Issues,2003,2.361
Journal of Social Issues,2002,1.563
Journal of Social Issues,2001,1.174
Journal of Social Issues,2000,1.167
Journal of Social Issues,1999,0.667
Journal of Social Issues,1998,0.674
Journal of Social Issues,1997,0.617
Journal of Research on Adolescence,2016,2.288
Journal of Research on Adolescence,2015,2.48
Journal of Research on Adolescence,2014,1.915
Journal of Research on Adolescence,2013,2.507
Journal of Research on Adolescence,2012,2.702
Journal of Research on Adolescence,2011,1.989
Journal of Research on Adolescence,2010,1.493
Journal of Research on Adolescence,2009,1.682
Journal of Research on Adolescence,2008,1.862
Journal of Research on Adolescence,2007,1.211
Journal of Research on Adolescence,2006,1.021
Journal of Research on Adolescence,2005,1.972
Journal of Research on Adolescence,2004,1.216
Journal of Research on Adolescence,2003,1.605
Journal of Research on Adolescence,2002,1.179
Journal of Research on Adolescence,2001,1.171
Journal of Research on Adolescence,2000,1.5
Journal of Research on Adolescence,1999,1.146
Journal of Research on Adolescence,1998,1.157
Journal of Research on Adolescence,1997,1.02
Journal of Research in Personality,2016,2.417
Journal of Research in Personality,2015,2.251
Journal of Research in Personality,2014,2.264
Journal of Research in Personality,2013,2.011
Journal of Research in Personality,2012,2
Journal of Research in Personality,2011,1.996
Journal of Research in Personality,2010,1.756
Journal of Research in Personality,2009,1.741
Journal of Research in Personality,2008,2.02
Journal of Research in Personality,2007,1.857
Journal of Research in Personality,2006,1.912
Journal of Research in Personality,2005,1.789
Journal of Research in Personality,2004,1.325
Journal of Research in Personality,2003,1.108
Journal of Research in Personality,2002,0.905
Journal of Research in Personality,2001,1.089
Journal of Research in Personality,2000,1
Journal of Research in Personality,1999,0.836
Journal of Research in Personality,1998,0.956
Journal of Research in Personality,1997,0.703
Journal of Policy Analysis and Management,2016,3.415
Journal of Policy Analysis and Management,2015,2.788
Journal of Policy Analysis and Management,2014,2.576
Journal of Policy Analysis and Management,2013,2.262
Journal of Policy Analysis and Management,2012,1.781
Journal of Policy Analysis and Management,2011,1.095
Journal of Policy Analysis and Management,2010,2.246
Journal of Policy Analysis and Management,2009,1.545
Journal of Policy Analysis and Management,2008,1.377
Journal of Policy Analysis and Management,2007,1.8
Journal of Policy Analysis and Management,2006,1.198
Journal of Policy Analysis and Management,2005,0.855
Journal of Policy Analysis and Management,2004,1.24
Journal of Policy Analysis and Management,2003,1.07
Journal of Policy Analysis and Management,2002,0.971
Journal of Policy Analysis and Management,2001,0.966
Journal of Policy Analysis and Management,2000,0.897
Journal of Policy Analysis and Management,1999,1.175
Journal of Policy Analysis and Management,1998,0.873
Journal of Policy Analysis and Management,1997,0.61
Journal of Pediatric Psychology,2016,2.444
Journal of Pediatric Psychology,2015,2.62
Journal of Pediatric Psychology,2014,2.472
Journal of Pediatric Psychology,2013,2.541
Journal of Pediatric Psychology,2012,2.647
Journal of Pediatric Psychology,2011,2.91
Journal of Pediatric Psychology,2010,2.943
Journal of Pediatric Psychology,2009,3.05
Journal of Pediatric Psychology,2008,2.895
Journal of Pediatric Psychology,2007,3.045
Journal of Pediatric Psychology,2006,3.157
Journal of Pediatric Psychology,2005,1.973
Journal of Pediatric Psychology,2004,1.943
Journal of Pediatric Psychology,2003,1.474
Journal of Pediatric Psychology,2002,1.6
Journal of Pediatric Psychology,2001,1.773
Journal of Pediatric Psychology,2000,1.541
Journal of Pediatric Psychology,1999,1.208
Journal of Pediatric Psychology,1998,1.026
Journal of Pediatric Psychology,1997,0.901
Journal of Nutrition,2016,4.145
Journal of Nutrition,2015,3.74
Journal of Nutrition,2014,3.875
Journal of Nutrition,2013,4.227
Journal of Nutrition,2012,4.196
Journal of Nutrition,2011,3.916
Journal of Nutrition,2010,4.295
Journal of Nutrition,2009,4.091
Journal of Nutrition,2008,3.647
Journal of Nutrition,2007,3.771
Journal of Nutrition,2006,4.009
Journal of Nutrition,2005,3.689
Journal of Nutrition,2004,3.245
Journal of Nutrition,2003,3.321
Journal of Nutrition,2002,3.62
Journal of Nutrition,2001,3.246
Journal of Nutrition,2000,2.913
Journal of Nutrition,1999,2.15
Journal of Nutrition,1998,2.127
Journal of Nutrition,1997,2.141
Journal of Nervous and Mental Disease,2016,1.86
Journal of Nervous and Mental Disease,2015,1.836
Journal of Nervous and Mental Disease,2014,1.688
Journal of Nervous and Mental Disease,2013,1.812
Journal of Nervous and Mental Disease,2012,1.842
Journal of Nervous and Mental Disease,2011,1.682
Journal of Nervous and Mental Disease,2010,1.796
Journal of Nervous and Mental Disease,2009,1.771
Journal of Nervous and Mental Disease,2008,1.81
Journal of Nervous and Mental Disease,2007,1.863
Journal of Nervous and Mental Disease,2006,1.957
Journal of Nervous and Mental Disease,2005,1.738
Journal of Nervous and Mental Disease,2004,1.463
Journal of Nervous and Mental Disease,2003,1.496
Journal of Nervous and Mental Disease,2002,1.443
Journal of Nervous and Mental Disease,2001,1.457
Journal of Nervous and Mental Disease,2000,1.626
Journal of Nervous and Mental Disease,1999,1.351
Journal of Nervous and Mental Disease,1998,1.25
Journal of Nervous and Mental Disease,1997,1.32
Journal of Medical Internet Research,2016,5.175
Journal of Medical Internet Research,2015,4.532
Journal of Medical Internet Research,2014,3.428
Journal of Medical Internet Research,2013,4.669
Journal of Medical Internet Research,2012,3.768
Journal of Medical Internet Research,2011,4.409
Journal of Medical Internet Research,2010,4.663
Journal of Medical Internet Research,2009,3.924
Journal of Medical Internet Research,2008,3.59
Journal of Medical Internet Research,2007,2.953
Journal of Medical Internet Research,2006,2.888
Journal of Marriage and the Family,2016,2.238
Journal of Marriage and the Family,2015,1.873
Journal of Marriage and the Family,2014,1.77
Journal of Marriage and the Family,2013,1.899
Journal of Marriage and the Family,2012,3.006
Journal of Marriage and the Family,2011,2.028
Journal of Marriage and the Family,2010,1.849
Journal of Marriage and the Family,2009,1.553
Journal of Marriage and the Family,2008,1.639
Journal of Marriage and the Family,2007,1.756
Journal of Marriage and the Family,2006,1.763
Journal of Marriage and the Family,2005,1.35
Journal of Marriage and the Family,2004,1.288
Journal of Marriage and the Family,2003,1.43
Journal of Marriage and the Family,2002,2.03
Journal of Marriage and the Family,2001,1.699
Journal of Marriage and the Family,2000,2.135
Journal of Marriage and the Family,1999,1.503
Journal of Marriage and the Family,1998,1.132
Journal of Marriage and the Family,1997,1.438
Journal of Marriage and Family,2016,2.238
Journal of Marriage and Family,2015,1.873
Journal of Marriage and Family,2014,1.77
Journal of Marriage and Family,2013,1.899
Journal of Marriage and Family,2012,3.006
Journal of Marriage and Family,2011,2.028
Journal of Marriage and Family,2010,1.849
Journal of Marriage and Family,2009,1.553
Journal of Marriage and Family,2008,1.639
Journal of Marriage and Family,2007,1.756
Journal of Marriage and Family,2006,1.763
Journal of Marriage and Family,2005,1.35
Journal of Marriage and Family,2004,1.288
Journal of Marriage and Family,2003,1.43
Journal of Marriage and Family,2002,2.03
Journal of Marriage and Family,2001,1.699
Journal of Marriage and Family,2000,2.135
Journal of Marriage and Family,1999,1.503
Journal of Marriage and Family,1998,1.132
Journal of Marriage and Family,1997,1.438
Journal of Marital and Family Therapy,2014,2.528
Journal of Marital and Family Therapy,2013,2.048
Journal of Marital and Family Therapy,2012,1.233
Journal of Marital and Family Therapy,2011,1.014
Journal of Marital and Family Therapy,2010,1.116
Journal of Marital and Family Therapy,2009,0.892
Journal of Marital and Family Therapy,2008,0.882
Journal of Marital and Family Therapy,2007,0.571
Journal of Marital and Family Therapy,2006,1.087
Journal of Marital and Family Therapy,2005,1.882
Journal of Marital and Family Therapy,2004,1.392
Journal of Marital and Family Therapy,2003,0.785
Journal of Marital and Family Therapy,2002,0.761
Journal of Marital and Family Therapy,2001,0.963
Journal of Marital and Family Therapy,2000,1.106
Journal of Marital and Family Therapy,1999,0.833
Journal of Marital and Family Therapy,1998,0.879
Journal of Marital and Family Therapy,1997,1.441
Journal of Labor Economics,2016,2.887
Journal of Labor Economics,2015,3.214
Journal of Labor Economics,2014,1.893
Journal of Labor Economics,2013,1.979
Journal of Labor Economics,2012,1.729
Journal of Labor Economics,2011,1.644
Journal of Labor Economics,2010,2.244
Journal of Labor Economics,2009,1.511
Journal of Labor Economics,2008,2.275
Journal of Labor Economics,2007,1.473
Journal of Labor Economics,2006,1.533
Journal of Labor Economics,2005,1.281
Journal of Labor Economics,2004,0.986
Journal of Labor Economics,2003,1.26
Journal of Labor Economics,2002,0.903
Journal of Labor Economics,2001,0.955
Journal of Labor Economics,2000,1.273
Journal of Labor Economics,1999,1.5
Journal of Labor Economics,1998,0.868
Journal of Labor Economics,1997,0.8
Journal of Interpersonal Violence,2016,1.94
Journal of Interpersonal Violence,2015,1.579
Journal of Interpersonal Violence,2014,1.21
Journal of Interpersonal Violence,2013,1.162
Journal of Interpersonal Violence,2012,1.355
Journal of Interpersonal Violence,2011,1.639
Journal of Interpersonal Violence,2010,1.354
Journal of Interpersonal Violence,2009,1.332
Journal of Interpersonal Violence,2008,1.473
Journal of Interpersonal Violence,2007,1.171
Journal of Interpersonal Violence,2006,1.139
Journal of Interpersonal Violence,2005,0.94
Journal of Interpersonal Violence,2004,0.706
Journal of Interpersonal Violence,2003,0.82
Journal of Interpersonal Violence,2002,0.993
Journal of Interpersonal Violence,2001,1.138
Journal of Interpersonal Violence,2000,1.062
Journal of Interpersonal Violence,1999,0.878
Journal of Interpersonal Violence,1998,0.652
Journal of Interpersonal Violence,1997,0.658
Journal of Health Care for the Poor and Underserved,2016,0.916
Journal of Health Care for the Poor and Underserved,2015,0.963
Journal of Health Care for the Poor and Underserved,2014,0.924
Journal of Health Care for the Poor and Underserved,2013,0.902
Journal of Health Care for the Poor and Underserved,2012,1.491
Journal of Health Care for the Poor and Underserved,2011,1.102
Journal of Health Care for the Poor and Underserved,2010,1.033
Journal of Health Care for the Poor and Underserved,2009,0.964
Journal of Health Care for the Poor and Underserved,2008,0.88
Journal of Health Care for the Poor and Underserved,2007,0.73
Journal of Health Care for the Poor and Underserved,2006,0.846
Journal of Health Care for the Poor and Underserved,2005,0.815
Journal of Health Care for the Poor and Underserved,2004,0.861
Journal of Health Care for the Poor and Underserved,2003,0.731
Journal of Health Care for the Poor and Underserved,2002,0.787
Journal of Health Care for the Poor and Underserved,2001,0.571
Journal of Health Care for the Poor and Underserved,2000,0.767
Journal of Health Care for the Poor and Underserved,1999,0.657
Journal of Health Care for the Poor and Underserved,1998,0.456
Journal of Health Care for the Poor and Underserved,1997,0.545
Journal of Family Violence,2016,0.871
Journal of Family Violence,2015,0.767
Journal of Family Violence,2014,0.748
Journal of Family Violence,2013,0.657
Journal of Family Violence,2012,0.94
Journal of Family Violence,2011,1.167
Journal of Family Violence,2010,0.949
Journal of Family Violence,2009,0.939
Journal of Family Violence,2008,0.533
Journal of Family Violence,2007,0.348
Journal of Family Violence,2006,0.618
Journal of Family Violence,2005,0.873
Journal of Family Violence,2004,0.491
Journal of Family Violence,2003,0.667
Journal of Family Violence,2002,0.673
Journal of Family Violence,2001,0.615
Journal of Family Violence,2000,0.76
Journal of Family Violence,1999,0.592
Journal of Family Violence,1998,0.319
Journal of Family Violence,1997,0.956
Journal of Family Psychology,2016,1.742
Journal of Family Psychology,2015,1.665
Journal of Family Psychology,2014,1.713
Journal of Family Psychology,2013,1.577
Journal of Family Psychology,2012,1.888
Journal of Family Psychology,2011,1.656
Journal of Family Psychology,2010,1.911
Journal of Family Psychology,2009,2
Journal of Family Psychology,2008,2.055
Journal of Family Psychology,2007,1.728
Journal of Family Psychology,2006,1.833
Journal of Family Psychology,2005,1.549
Journal of Family Psychology,2004,1.667
Journal of Family Psychology,2003,1.381
Journal of Family Psychology,2002,1.402
Journal of Family Psychology,2001,1.356
Journal of Family Psychology,2000,1.058
Journal of Family Psychology,1999,1.188
Journal of Family Psychology,1998,1.22
Journal of Family Psychology,1997,1.207
Journal of Family Issues,2016,1.696
Journal of Family Issues,2015,1.697
Journal of Family Issues,2014,1.269
Journal of Family Issues,2013,0.86
Journal of Family Issues,2012,0.963
Journal of Family Issues,2011,1.035
Journal of Family Issues,2010,1.264
Journal of Family Issues,2009,1.368
Journal of Family Issues,2008,1.13
Journal of Family Issues,2007,0.956
Journal of Family Issues,2006,0.907
Journal of Family Issues,2005,0.802
Journal of Family Issues,2004,0.742
Journal of Family Issues,2003,0.606
Journal of Family Issues,2002,0.691
Journal of Family Issues,2001,1
Journal of Family Issues,2000,0.868
Journal of Family Issues,1999,0.597
Journal of Family Issues,1998,0.909
Journal of Family Issues,1997,0.565
Journal of Empirical Legal Studies,2016,1.528
Journal of Empirical Legal Studies,2015,1.362
Journal of Empirical Legal Studies,2014,1.383
Journal of Empirical Legal Studies,2013,1.111
Journal of Empirical Legal Studies,2012,1.067
Journal of Empirical Legal Studies,2011,1.403
Journal of Empirical Legal Studies,2010,1.565
Journal of Emotional and Behavioral Disorders,2016,2
Journal of Emotional and Behavioral Disorders,2015,1.951
Journal of Emotional and Behavioral Disorders,2014,1.659
Journal of Emotional and Behavioral Disorders,2013,0.846
Journal of Emotional and Behavioral Disorders,2012,1.135
Journal of Emotional and Behavioral Disorders,2011,1.278
Journal of Emotional and Behavioral Disorders,2010,2
Journal of Emotional and Behavioral Disorders,2009,1.676
Journal of Emotional and Behavioral Disorders,2008,1.231
Journal of Emotional and Behavioral Disorders,2007,0.854
Journal of Emotional and Behavioral Disorders,2006,1.143
Journal of Emotional and Behavioral Disorders,2005,0.909
Journal of Emotional and Behavioral Disorders,2004,0.727
Journal of Emotional and Behavioral Disorders,2003,1.413
Journal of Emotional and Behavioral Disorders,2002,1.191
Journal of Emotional and Behavioral Disorders,2001,1.17
Journal of Emotional and Behavioral Disorders,2000,1.022
Journal of Emotional and Behavioral Disorders,1999,1.043
Journal of Emotional and Behavioral Disorders,1998,0.787
Journal of Emotional and Behavioral Disorders,1997,0.417
Journal of Developmental and Behavioral Pediatrics,2016,2.393
Journal of Developmental and Behavioral Pediatrics,2015,2.323
Journal of Developmental and Behavioral Pediatrics,2014,2.129
Journal of Developmental and Behavioral Pediatrics,2013,2.353
Journal of Developmental and Behavioral Pediatrics,2012,1.75
Journal of Developmental and Behavioral Pediatrics,2011,2.135
Journal of Developmental and Behavioral Pediatrics,2010,2.205
Journal of Developmental and Behavioral Pediatrics,2009,2.265
Journal of Developmental and Behavioral Pediatrics,2008,2.487
Journal of Developmental and Behavioral Pediatrics,2007,2.097
Journal of Developmental and Behavioral Pediatrics,2006,2.17
Journal of Developmental and Behavioral Pediatrics,2005,1.943
Journal of Developmental and Behavioral Pediatrics,2004,1.69
Journal of Developmental and Behavioral Pediatrics,2003,1.699
Journal of Developmental and Behavioral Pediatrics,2002,1.608
Journal of Developmental and Behavioral Pediatrics,2001,1.367
Journal of Developmental and Behavioral Pediatrics,2000,1.041
Journal of Developmental and Behavioral Pediatrics,1999,1.244
Journal of Developmental and Behavioral Pediatrics,1998,0.885
Journal of Developmental and Behavioral Pediatrics,1997,0.786
Journal of Consulting and Clinical Psychology,2016,4.593
Journal of Consulting and Clinical Psychology,2015,4.713
Journal of Consulting and Clinical Psychology,2014,5.279
Journal of Consulting and Clinical Psychology,2013,5.228
Journal of Consulting and Clinical Psychology,2012,5.011
Journal of Consulting and Clinical Psychology,2011,4.848
Journal of Consulting and Clinical Psychology,2010,5.227
Journal of Consulting and Clinical Psychology,2009,4.461
Journal of Consulting and Clinical Psychology,2008,4.991
Journal of Consulting and Clinical Psychology,2007,4.214
Journal of Consulting and Clinical Psychology,2006,4.026
Journal of Consulting and Clinical Psychology,2005,4.023
Journal of Consulting and Clinical Psychology,2004,4.233
Journal of Consulting and Clinical Psychology,2003,3.252
Journal of Consulting and Clinical Psychology,2002,3.613
Journal of Consulting and Clinical Psychology,2001,3.566
Journal of Consulting and Clinical Psychology,2000,4.39
Journal of Consulting and Clinical Psychology,1999,3.919
Journal of Consulting and Clinical Psychology,1998,3.375
Journal of Consulting and Clinical Psychology,1997,3.057
Journal of Comparative Family Studies,2016,0.208
Journal of Comparative Family Studies,2015,0.309
Journal of Comparative Family Studies,2014,0.078
Journal of Comparative Family Studies,2013,0.245
Journal of Comparative Family Studies,2012,0.284
Journal of Comparative Family Studies,2011,0.476
Journal of Comparative Family Studies,2010,0.32
Journal of Comparative Family Studies,2009,0.265
Journal of Comparative Family Studies,2008,0.312
Journal of Comparative Family Studies,2007,0.5
Journal of Comparative Family Studies,2006,0.375
Journal of Comparative Family Studies,2005,0.41
Journal of Comparative Family Studies,2004,0.328
Journal of Comparative Family Studies,2003,0.138
Journal of Comparative Family Studies,2002,0.197
Journal of Comparative Family Studies,2001,0.176
Journal of Comparative Family Studies,2000,0.169
Journal of Comparative Family Studies,1999,0.062
Journal of Comparative Family Studies,1998,0.269
Journal of Comparative Family Studies,1997,0.185
Journal of Community Psychology,2016,0.86
Journal of Community Psychology,2015,0.797
Journal of Community Psychology,2014,0.667
Journal of Community Psychology,2013,0.832
Journal of Community Psychology,2012,1.082
Journal of Community Psychology,2011,0.985
Journal of Community Psychology,2010,0.792
Journal of Community Psychology,2009,1.048
Journal of Community Psychology,2008,1.147
Journal of Community Psychology,2007,0.935
Journal of Community Psychology,2006,0.966
Journal of Community Psychology,2005,0.732
Journal of Community Psychology,2004,0.788
Journal of Community Psychology,2003,0.692
Journal of Community Psychology,2002,0.928
Journal of Community Psychology,2001,0.582
Journal of Community Psychology,2000,0.736
Journal of Community Psychology,1999,0.658
Journal of Community Psychology,1998,0.864
Journal of Community Psychology,1997,0.556
Journal of Clinical Child & Adolescent Psychology,2016,4.396
Journal of Clinical Child & Adolescent Psychology,2015,4.027
Journal of Clinical Child & Adolescent Psychology,2014,3.312
Journal of Clinical Child & Adolescent Psychology,2013,2.553
Journal of Clinical Child & Adolescent Psychology,2012,2.665
Journal of Clinical Child & Adolescent Psychology,2011,1.923
Journal of Clinical Child & Adolescent Psychology,2010,3.44
Journal of Clinical Child & Adolescent Psychology,2009,2.91
Journal of Clinical Child & Adolescent Psychology,2008,2.928
Journal of Clinical Child & Adolescent Psychology,2007,2.555
Journal of Clinical Child & Adolescent Psychology,2006,2.338
Journal of Clinical Child & Adolescent Psychology,2005,2.015
Journal of Clinical Child & Adolescent Psychology,2004,1.773
Journal of Clinical Child & Adolescent Psychology,2003,1.04
Journal of Child Sexual Abuse,2016,0.649
Journal of Child Sexual Abuse,2015,0.536
Journal of Child Sexual Abuse,2014,0.807
Journal of Child Sexual Abuse,2013,0.753
Journal of Child Sexual Abuse,2012,0.605
Journal of Child Sexual Abuse,2011,0.747
Journal of Child Sexual Abuse,2010,0.359
Journal of Child Psychology and Psychiatry,2016,6.226
Journal of Child Psychology and Psychiatry,2015,6.615
Journal of Child Psychology and Psychiatry,2014,6.459
Journal of Child Psychology and Psychiatry,2013,5.669
Journal of Child Psychology and Psychiatry,2012,5.422
Journal of Child Psychology and Psychiatry,2011,4.281
Journal of Child Psychology and Psychiatry,2010,4.36
Journal of Child Psychology and Psychiatry,2009,4.983
Journal of Child Psychology and Psychiatry,2008,4.854
Journal of Child Psychology and Psychiatry,2007,4.432
Journal of Child and Family Studies,2016,1.386
Journal of Child and Family Studies,2015,1.802
Journal of Child and Family Studies,2014,1.163
Journal of Child and Family Studies,2013,1.016
Journal of Child and Family Studies,2012,1.422
Journal of Child and Family Studies,2011,1.118
Journal of Child and Family Studies,2010,0.672
Journal of Child and Adolescent Psychopharmacology,2016,2.44
Journal of Child and Adolescent Psychopharmacology,2015,2.149
Journal of Child and Adolescent Psychopharmacology,2014,2.933
Journal of Child and Adolescent Psychopharmacology,2013,3.073
Journal of Child and Adolescent Psychopharmacology,2012,2.773
Journal of Child and Adolescent Psychopharmacology,2011,2.884
Journal of Child and Adolescent Psychopharmacology,2010,2.479
Journal of Child and Adolescent Psychopharmacology,2009,2.59
Journal of Child and Adolescent Psychopharmacology,2008,2.641
Journal of Child and Adolescent Psychopharmacology,2007,3.139
Journal of Child and Adolescent Psychopharmacology,2006,2.486
Journal of Child and Adolescent Psychopharmacology,2005,2.307
Journal of Child and Adolescent Psychopharmacology,2004,2.511
Journal of Child and Adolescent Psychopharmacology,2003,2.487
Journal of Child and Adolescent Psychopharmacology,2002,2.513
Journal of Child and Adolescent Psychopharmacology,2001,1.754
Journal of Child and Adolescent Psychopharmacology,2000,1.982
Journal of Child and Adolescent Psychopharmacology,1999,2.1
Journal of Child and Adolescent Psychopharmacology,1998,1.609
Journal of Child and Adolescent Psychopharmacology,1997,1.933
Journal of Behavioral Health Services and Research,2016,2.024
Journal of Behavioral Health Services and Research,2015,1.617
Journal of Behavioral Health Services and Research,2014,1.372
Journal of Behavioral Health Services and Research,2013,1.026
Journal of Behavioral Health Services and Research,2012,0.782
Journal of Applied Social Psychology,2016,1.231
Journal of Applied Social Psychology,2015,1.006
Journal of Applied Social Psychology,2014,0.79
Journal of Applied Social Psychology,2013,0.747
Journal of Applied Social Psychology,2012,0.834
Journal of Applied Social Psychology,2011,0.633
Journal of Applied Social Psychology,2010,0.721
Journal of Applied Social Psychology,2009,0.772
Journal of Applied Social Psychology,2008,0.628
Journal of Applied Social Psychology,2007,0.657
Journal of Applied Social Psychology,2006,0.566
Journal of Applied Social Psychology,2005,0.533
Journal of Applied Social Psychology,2004,0.642
Journal of Applied Social Psychology,2003,0.523
Journal of Applied Social Psychology,2002,0.521
Journal of Applied Social Psychology,2001,0.657
Journal of Applied Social Psychology,2000,0.722
Journal of Applied Social Psychology,1999,0.517
Journal of Applied Social Psychology,1998,0.561
Journal of Applied Social Psychology,1997,0.519
Journal of Applied Developmental Psychology,2016,2.146
Journal of Applied Developmental Psychology,2015,1.4
Journal of Applied Developmental Psychology,2014,1.185
Journal of Applied Developmental Psychology,2013,1.373
Journal of Applied Developmental Psychology,2012,1.733
Journal of Applied Developmental Psychology,2011,1.852
Journal of Applied Developmental Psychology,2010,1.608
Journal of Applied Developmental Psychology,2009,1.155
Journal of Applied Developmental Psychology,2008,1.3
Journal of Applied Developmental Psychology,2007,1.055
Journal of Applied Developmental Psychology,2006,1.027
Journal of Applied Developmental Psychology,2005,0.623
Journal of Applied Developmental Psychology,2004,0.565
Journal of Applied Developmental Psychology,2003,0.836
Journal of Applied Developmental Psychology,2002,0.562
Journal of Applied Developmental Psychology,2001,0.457
Journal of Applied Developmental Psychology,2000,0.477
Journal of Applied Developmental Psychology,1999,0.319
Journal of Applied Developmental Psychology,1998,0.594
Journal of Applied Developmental Psychology,1997,0.476
Journal of Adolescent Research,2016,1.433
Journal of Adolescent Research,2015,1.439
Journal of Adolescent Research,2014,1.455
Journal of Adolescent Research,2013,1.218
Journal of Adolescent Research,2012,0.983
Journal of Adolescent Research,2011,0.873
Journal of Adolescent Research,2010,1.164
Journal of Adolescent Research,2009,1.404
Journal of Adolescent Research,2008,2.1
Journal of Adolescent Research,2007,1.24
Journal of Adolescent Research,2006,1.582
Journal of Adolescent Research,2005,0.694
Journal of Adolescent Research,2004,0.692
Journal of Adolescent Research,2003,0.938
Journal of Adolescent Research,2002,0.656
Journal of Adolescent Research,2001,1.02
Journal of Adolescent Research,2000,0.925
Journal of Adolescent Research,1999,1
Journal of Adolescent Research,1998,0.762
Journal of Adolescent Research,1997,0.442
Journal of Adolescent Health,2016,3.974
Journal of Adolescent Health,2015,3.838
Journal of Adolescent Health,2014,3.612
Journal of Adolescent Health,2013,2.748
Journal of Adolescent Health,2012,2.966
Journal of Adolescent Health,2011,3.334
Journal of Adolescent Health,2010,3.116
Journal of Adolescent Health,2009,3.325
Journal of Adolescent Health,2008,2.91
Journal of Adolescent Health,2007,2.387
Journal of Adolescent Health,2006,2.71
Journal of Adolescent Health,2005,2.013
Journal of Adolescent Health,2004,1.571
Journal of Adolescent Health,2003,1.674
Journal of Adolescent Health,2002,1.544
Journal of Adolescent Health,2001,1.468
Journal of Adolescent Health,2000,1.415
Journal of Adolescent Health,1999,1.246
Journal of Adolescent Health,1998,1.277
Journal of Adolescent Health,1997,1.282
Journal of Adolescence,2016,1.795
Journal of Adolescence,2015,2.007
Journal of Adolescence,2014,1.957
Journal of Adolescence,2013,1.638
Journal of Adolescence,2012,1.882
Journal of Adolescence,2011,2.05
Journal of Adolescence,2010,1.587
Journal of Adolescence,2009,1.802
Journal of Adolescence,2008,1.474
Journal of Adolescence,2007,1.207
Journal of Adolescence,2006,1.694
Journal of Adolescence,2005,1.196
Journal of Adolescence,2004,0.933
