Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI
3GGHZNZI,journalArticle,2010,"Thompson, Richard; Zuroff, David C.",My future self and me: Depressive styles and future expectations,Personality and Individual Differences,,,http://dx.doi.org/10.1016/j.paid.2009.10.004
2SIQEWQX,journalArticle,2011,"Thompson, Richard; Wiley, Tisha R. A.; Lewis, Terri; English, Diana J.; Dubowitz, Howard; Litrownik, Alan J.; Isbell, Patricia; Block, Stephanie",Links between traumatic experiences and expectations about the future in high risk youth,"Psychological Trauma: Theory, Research, Practice, and Policy",,,http://dx.doi.org/10.1037/a0023867
SWN9UGWT,journalArticle,2009,"Thompson, Richard; Wiley, Tisha R.",Predictors of Re-Referral to Child Protective Services: A Longitudinal Follow-Up of an Urban Cohort Maltreated as Infants,Child maltreatment,,,http://dx.doi.org/10.1177/1077559508325317
J5D5MVZF,journalArticle,2010,"Thompson, Richard; Whimper, Lakecia A.",Exposure to Family Violence and Reading Level of Early Adolescents,"Journal of Aggression, Maltreatment and Trauma",,,http://dx.doi.org/10.1080/10926771003781347
5CRDEWES,journalArticle,2011,"Thompson, Richard; Tabone, Jiyoung Kim; Litrownik, Alan J.; Briggs, Ernestine C.; Hussey, Jon M.; English, Diana J.; Dubowitz, Howard",Early Adolescent Risk Behavior Outcomes of Childhood Externalizing Behavioral Trajectories,The Journal of Early Adolescence,,,http://dx.doi.org/10.1177/0272431609361203
CT6V8CIM,journalArticle,2010,"Thompson, Richard; Tabone, Jiyoung Kim",The impact of early alleged maltreatment on behavioral trajectories,Child Abuse and Neglect,,,http://dx.doi.org/doi:10.1016/j.chiabu.2010.06.006
UH7X6EZB,journalArticle,2007,"Thompson, Richard; Proctor, Laura J.; Weisbart, Cindy E.; Lewis, Terri L.; English, Diana J.; Hussey, Jon M.; Runyan, Desmond K.",Children's self-report about violence exposure: An examination of the Things I Have Seen and Heard Scale,American Journal of Orthopsychiatry,,,http://dx.doi.org/doi:10.1037/0002-9432.77.3.454
X7N4Z6XW,journalArticle,2012,"Thompson, Richard; Proctor, Laura J.; English, Diana J.; Dubowitz, Howard; Narasimhan, Subasri; Everson, Mark D.",Suicidal ideation in adolescence: Examining the role of recent adverse experiences,Journal of Adolescence,,,http://dx.doi.org/10.1016/j.adolescence.2011.03.003
8SPFH7RC,journalArticle,2005,"Thompson, Richard; Briggs, Ernestine C.; English, Diana J.; Dubowitz, Howard; Lee, Li-Ching; Brody, Kate E.; Everson, Mark D.; Hunter, Wanda M.",Suicidal Ideation Among 8-Year-Olds Who Are Maltreated and At Risk: Findings From the LONGSCAN Studies,Child Maltreatment,,,http://dx.doi.org/10.1177/1077559504271271
M92HDJUX,journalArticle,2006,"Thompson, Richard; May, Maria A.",Caregivers' Perceptions of Child Mental Health Needs and Service Utilization: An Urban 8-Year Old Sample,Journal of Behavioral Health Services and Research,,10943412,http://dx.doi.org/10.1007/s11414-006-9021-7
9E7SWN57,journalArticle,2010,"Thompson, Richard; Litrownik, Alan J.; Weisbart, Cindy; Kotch, Jonathan B.; English, Diana J.; Everson, Mark D.",Adolescent outcomes associated with early maltreatment and exposure to violence: The role of early suicidal ideation,International Journal of Adolescent Health,,,
ZCREPB5D,journalArticle,2007,"Thompson, Richard; Lindsey, Michael A.; English, Diana J.; Hawley, Kristin M.; Lambert, Sharon; Browne, Dorothy C.",The influence of family environment on mental health need and service use among vulnerable children,Child Welfare League of America,,94021,
98C5QUA4,journalArticle,2014,"Thompson, Richard; Jones, Deborah J.; Litrownik, Alan J.; English, Diana J.; Kotch, Jonathan B.; Lewis, Terri; Dubowitz, Howard","Linking Mother and Youth Parenting Attitudes Indirect Effects via Maltreatment, Parent Involvement, and Youth Functioning",Child Maltreatment,,,http://dx.doi.org/10.1177/1077559514547263
4429C8PE,journalArticle,2006,"Thompson, Richard; Dubowitz, Howard; English, Diana J.; Nooner, Kate B.; Bangdiwala, Shrikant I.; Runyan, Desmond K.; Briggs, Ernestine C.",Parents' and teachers' concordance with children's self-ratings of suicidality: Findings from a high-risk sample,Suicide and Life-Threatening Behavior,,,
E9ZVTFI7,journalArticle,2005,"Thompson, Richard",The course and correlates of mental health care received by young children: Descriptive data from a longitudinal urban high-risk sample.,Children and Youth Services Review,,,http://dx.doi.org/10.1016/j.childyouth.2004.07.003
2629JRAE,journalArticle,2006,"Thompson, Richard",Exploring the Link Between Maternal History of Childhood Victimization and Child Risk of Maltreatment,Journal of Trauma Practice,,1536-2922,http://dx.doi.org/10.1300/J189v05n02_04
7EXTEXRG,journalArticle,2007,"Thompson, Richard",Mothers' violence victimization and child behavior problems: Examining the link,American Journal of Orthopsychiatry,,,http://dx.doi.org/10.1037/0002-9432.77.2.306
9UMPZRFD,journalArticle,2009,"Thompson, Richard",The impact of early mental health services on the trajectory of externalizing behavioral problems in a sample of high-risk pre-adolescent children,Children and Youth Services Review,,0190-7409,http://dx.doi.org/10.1016/j.childyouth.2008.05.004
E99ATVTK,journalArticle,2010,"Thompson, Richard",Maltreatment and Mental Health Care: Focusing on Child Neglect,Psychiatric Services,,1075-2730,
753MPP6H,journalArticle,2010,"Tabone, Jiyoung Kim; Thompson, Richard; Wiley, Tisha R. A.",The impact of early mental health services on child behavioral outcomes: Comparisons between and within trajectory groups,Children and Youth Services Review,,0190-7409,http://dx.doi.org/10.1016/j.childyouth.2009.09.009
SRGCX8XC,journalArticle,2011,"Tabone, Jiyoung Kim; Guterman, Neil B.; Litrownik, Alan J.; Dubowitz, Howard; Isbell, Patricia; English, Diana J.; Runyan, Desmond K.; Thompson, Richard",Developmental Trajectories of Behavior Problems Among Children Who Have Experienced Maltreatment: Heterogeneity During Early Childhood and Ecological Predictors,Journal of Emotional and Behavioral Disorders,,,http://dx.doi.org/10.1177/1063426610383861
ZUDCCBIU,journalArticle,1999,"Socolar, Rebecca R. S.; Winsor, Jane R.; Hunter, Wanda M.; Catellier, Diane J.; Kotch, Jonathan B.",Maternal disciplinary practices in an at-risk population,Archives of Pediatrics and Adolescent Medicine,,,
VRRPMSEV,journalArticle,1995,"Socolar, Rebecca R. S.; Runyan, Desmond K.; Amaya-Jackson, Lisa",Methodological and ethical issues related to studying child maltreatment,Journal of Family Issues,,,http://dx.doi.org/10.1177/019251395016005004
TAGFDIG9,journalArticle,2005,"Schneider, Mary Wood; Ross, Anita; Graham, J. Christopher; Zielinski, Angiela",Do allegations of emotional maltreatment predict developmental outcomes beyond that of other forms of maltreatment?,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/j.chiabu.2004.08.010
PDR2BCUV,journalArticle,2003,"Saluja, G.; Kotch, Jonathan; Lee, Li-Ching",Effects of child abuse and neglect: does social capital really matter?,Archives of Pediatrics and Adolescent Medicine,,,
8HUP4FMS,journalArticle,2003,"Runyan, Desmond K.; Litrownik, Alan J.",Introduction to special issue: LONGSCAN and family violence,Journal of Family Violence,,,
4HN9C4ZX,journalArticle,1998,"Runyan, Desmond K.; Hunter, Wanda M.; Socolar, Rebecca R. S.; Amaya-Jackson, Lisa; English, Diana; Landsverk, John; Dubowitz, Howard; Browne, Dorothy H.; Bangdiwala, Shrikant I.; Mathew, Ravi M.",Children who prosper in unfavorable environments: The relationship to social capital.,Pediatrics,,,
S489TIWC,journalArticle,1998,"Runyan, Desmond K.; Curtis, Patrick A.; Hunter, Wanda M.; Black, Maureen M.; Kotch, Jonathan B.; Bangdiwala, Shrikant; Dubowitz, Howard; English, Diana; Everson, Mark D.; Landsverk, John",Longscan: A consortium for longitudinal studies of maltreatment and the life course of children,Aggression and Violent Behavior,,,http://dx.doi.org/10.1016/S1359-1789(96)00027-4
HH3EJZDE,journalArticle,2005,"Runyan, Desmond K.; Cox, Christine E.; Dubowitz, Howard; Newton, Rae R.; Upadhyaya, M. P.; Kotch, Jonathan B.; Leeb, Rebecca; Everson, Mark D.; Knight, Elizabeth D.",Describing maltreatment: do child protective service reports and research definitions agree?,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/j.chiabu.2004.06.015
HUIG4QFC,journalArticle,2000,"Runyan, Desmond K.","The ethical, legal, and methodological implications of directly asking children about abuse",Journal of Interpersonal Violence,,,http://dx.doi.org/10.1177/088626000015007001
4VNAUSEI,journalArticle,2006,"Romney, Stephanie C.; Litrownik, Alan J.; Newton, Rae R.; Lau, Anna S.",The Relationship Between Child Disability and Living Arrangement in Child Welfare,Child welfare,,94021,
AWH6MSG5,journalArticle,2010,"Roesch, Scott C.; Villodas, M.; Villodas, F.","Latent Class/Profile Analysis in Maltreatment Research: A Commentary on Nooner et al., Pears et al., and Looking Beyond",Child Abuse and Neglect,,,http://dx.doi.org/10.1016/j.chiabu.2010.01.003
3UCE4BRJ,journalArticle,2001,"Radhakrishna, Aruna; Bou-Saada, Ingrid E.; Hunter, Wanda M.; Catellier, Diane J.; Kotch, Jonathan B.",Are father surrogates a risk factor for child maltreatment?,Child Maltreatment,,,http://dx.doi.org/10.1177/1077559501006004001
RZIFXSTJ,journalArticle,2011,"Proctor, Laura J.; Randazzo, Katherine Van Dusen; Litrownik, Alan J.; Newton, Rae R.; Davis, Inger P.; Villodas, Miguel",Factors associated with caregiver stability in permanent placements: A classification tree approach,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/j.chiabu.2011.02.002
6ZN3K7UN,journalArticle,2010,"Proctor, Laura J.; Skriner, Laura C.; Roesch, Scott; Litrownik, Alan J.",Trajectories of Behavioral Adjustment Following Early Placement in Foster Care: Predicting Stability and Change Over 8 Years,Journal of the American Academy of Child & Adolescent Psychiatry,,,http://dx.doi.org/10.1016/j.jaac.2010.01.022
EUMQGGKC,journalArticle,2011,"Oberlander, Sarah E.; Wang, Yan; Thompson, Richard; Lewis, Terri; Proctor, Laura J.; Isbell, Patricia; English, Diana J.; Dubowitz, Howard; Litrownik, Alan J.; Black, Maureen M.","Childhood maltreatment, emotional distress, and early adolescent sexual intercourse: Multi-informant perspectives on parental monitoring",Journal of Family Psychology,,,http://dx.doi.org/10.1037/a0025423
TVDPG4WA,journalArticle,2011,"Nwadiuko, Joseph; Isbell, Patricia; Zolotor, Adam J.; Hussey, Jon; Kotch, Jonathan B.",Using Social Networking Sites in Subject Tracing,Field Methods,,,http://dx.doi.org/10.1177/1525822X10384088
U827WIXC,journalArticle,2010,"Nooner, Kate B.; Litrownik, Alan J.; Thompson, Richard; Margolis, Benyamin; English, Diana J.; Knight, Elizabeth D.; Everson, Mark D.; Roesch, Scott",Youth self-report measures of physical and sexual abuse: A latent class analysis,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/j.chiabu.2008.10.007
RHD9CG46,journalArticle,2000,"Newton, Rae R.; Litrownik, Alan J.; Landsverk, John A.",Children and youth in foster care: distangling the relationship between problem behaviors and number of placements,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/S0145-2134(00)00189-7
MANQF7MJ,journalArticle,2003,"Morrel, Tanya M.; Dubowitz, Howard; Kerr, Mia A.; Black, Maureen M.",The effect of maternal victimization on children: A cross-informant study.,Journal of Family Violence,,,
NQPKHVXK,journalArticle,2008,"Merrick, Melissa T.; Litrownik, Alan J.; Everson, Mark D.; Cox, Christine E.",Beyond sexual abuse: the impact of other maltreatment experiences on sexualized behaviors,Child maltreatment,,1077-5595,http://dx.doi.org/10.1177/1077559507306715
WRAWE8TB,journalArticle,2014,"Merrick, Melissa T.; Litrownik, Alan J.; Margolis, Benyamin; Wiley, Tisha R. A.; Everson, Mark D.; Dubowitz, Howard; English, Diana",Sexualized Behaviors Partially Mediate the Link between Maltreatment and Delinquent Behaviors,Journal of Child and Family Studies,,,http://dx.doi.org/10.1007/s10826-014-0024-3
JXQ8VA7Z,journalArticle,2010,"Mennen, Ferol E.; Kim, Kihyun; Sang, Jina; Trickett, Penelope K.",Child Neglect: Definition and identification of youth's experiences in official reports of maltreatment,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/j.chiabu.2010.02.007
5WB4NRBX,journalArticle,2012,"Fusco, Rachel A.; Rauktis, Mary E.",Transracial mothering and maltreatment: are black/white biracial children at higher risk?,Child Welfare,,,
92A3NE7C,journalArticle,1999,U.S. Department of Health and Human Services; Administration for Children and Families; Children’s Bureau,AFCARS reports,AFCARS reports,,,
CSCDUAQZ,journalArticle,2011,"Palusci, Vincent J.",Risk Factors and Services for Child Maltreatment Among Infants and Young Children,Children and Youth Services Review,,,http://dx.doi.org/10.1016/j.childyouth.2011.04.025
3A8VNPJA,journalArticle,2010,"Palusci, Vincent J.; Yager, Steve; Covington, Theresa M.",Effects of a Citizens Review Panel in preventing child maltreatment fatalities,Child Abuse and Neglect,,0145-2134,http://dx.doi.org/10.1016/j.chiabu.2009.09.018
EAFCVT7S,journalArticle,2014,"Palusci, Vincent J.; Vandervort, Frank E.",Universal reporting laws and child maltreatment report rates in large US counties,Children and Youth Services Review,,,http://dx.doi/org/10.1016/j.childyouth.2013.12.010
2MADSTS9,journalArticle,2005,"Palusci, Vincent J.; Smith, Elliott G.; Paneth, Nigel",Predicting and responding to physical abuse in young children using NCANDS,Children and Youth Services Review,,,http://dx.doi.org/10.1016/j.childyouth.2004.12.004
CCQSXPU2,journalArticle,2012,"Palusci, Vincent J.; Ondersma, Steven J.",Services and Recurrence After Psychological Maltreatment Confirmed by Child Protective Services,Child Maltreatment,,,http://dx.doi.org/10.1177/1077559511433817
6TB49B9B,journalArticle,2013,"Ocasio, Kerrie; Morton, Cory; Simmel, Cassandra",An Exploration of Child Welfare Investigation Disparity Differences Between States,Journal of Public Child Welfare,,1554-8732,http://dx.doi.org/10.1080/15548732.2012.701838
9DQ8JWFT,journalArticle,2002,"Paxson, Christina; Waldfogel, Jane","Work, Welfare, and child maltreatment",Journal of Labor Economics,,0734306X,
QFB6EB3J,journalArticle,2007,"Turner, Heather A.; Finkelhor, David; Ormrod, Richard",Family structure variations in patterns and predictors of child victimization,American Journal of Orthopsychiatry,,0002-9432; 1939-0025,http://dx.doi.org/10.1037/0002-9432.77.2.282
XZ77R75F,journalArticle,2007,"Wall, Ariana E.; Kohl, Patricia L.",Substance Use in Maltreated Youth: Findings From the National Survey of Child and Adolescent Well-Being,Child Maltreatment,,,http://dx.doi.org/10.1177/1077559506296316
BUP9DGMV,journalArticle,2009,"Southerland, Dannia; Casanueva, Cecilia E.; Ringeisen, Heather",Young adult outcomes and mental health problems among transition age youth investigated for maltreatment during adolescence,Children and Youth Services Review,,,http://dx.doi.org/10.1016/j.childyouth.2009.03.010
TS5G2KHP,journalArticle,2009,"Schultz, Dana J.; Tharp-Taylor, Shannah; Haviland, Amelia; Jaycox, Lisa",The relationship between protective factors and outcomes for children investigated for maltreatment,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/j.chiabu.2009.04.004
9WS7KSGE,journalArticle,2007,"Rubin, David M.; O'Reilly, Amanda L. R.; Luan, Xianqun; Localio, A. Russell",The Impact of Placement Stability on Behavioral Well-Being for Children in Foster Care,Pediatrics,,,http://dx.doi.org/10.1542/peds.2006-1995
KCFBUAXC,journalArticle,2008,"Ringeisen, Heather; Casanueva, Cecilia; Urato, Matthew; Cross, Theodore P.",Special Health Care Needs Among Children in the Child Welfare System,Pediatrics,,,http://dx.doi.org/10.1542/peds.2007-3778
AKEDI8QQ,journalArticle,2010,"Park, Jung Min; Helton, Jesse",Transitioning from informal to formal substitute care following maltreatment investigation,Children and Youth Services Review,,0190-7409,http://dx.doi.org/10.1016/j.childyouth.2010.03.027
N6J9RWQ4,journalArticle,2008,"Osborn, Alexandra L.; Delfabbro, Paul; Barber, James G.",The psychosocial functioning and family background of children experiencing significant placement instability in Australian out-of-home care,Children and Youth Services Review,,0190-7409,http://dx.doi.org/10.1016/j.childyouth.2007.12.012
N9FUUVIR,journalArticle,2015,"Ogbonnaya, Ijeoma Nwabuzor",Effect of Race on the Risk of Out-of-Home Placement Among Children with Caregivers Who Reported Domestic Violence,Journal of Family Violence,,,http://dx.doi.org/10.1007/s10896-014-9664-8
FR5JT2UV,journalArticle,2014,"Mendoza, Natasha S.",Social Services and Child Well-Being Among CPS-Involved Families,Journal of Social Service Research,,,http://dx.doi.org/10.1080/01488376.2014.893949
D4SEP3IG,journalArticle,1991,"Cappelleri, Joseph C.; Eckenrode, John; Powers, Jane L.",A user's guide for the second National incidence study,Updata,,,
XV74I7MU,journalArticle,2004,"Ybarra, Michele L.",Linkages between depressive symptomatology and internet harassment among young regular internet ssers,CyberPsychology and Behavior,,10949313,http://dx.doi.org/10.1089/109493104323024500
E6HVQQMX,journalArticle,1978,"Yllo, Kersti Alice",Nonmarital Cohabitation Beyond the College Campus,Alternative Lifestyles,,,http://dx.doi.org/10.1007/BF01081970
ND9K6WAS,journalArticle,2016,"Shpiegel, Svetlana; Lister, Jamey J.; Isralowitz, Richard",Relationships Between Delinquency and Substance Use Among Adolescents Emancipating from Foster Care,Journal of Social Work Practice in the Addictions,,"1533-256X, 1533-2578",10.1080/1533256X.2016.1164059
M6PD7E5E,journalArticle,2014,"Millera, Adam B.; Adams, Leah M.; Esposito-Smythersa, Christianne; Thompson, Richard; Proctor, Laura J.",Parents and friendships: A longitudinal examination of interpersonal mediators of the relationship between child maltreatment and suicidal ideation,Psychiatry Research,,,10.1016/j.psychres.2014.10.009
VPRJ2QKA,journalArticle,2011,"Sinanan, Allison Nadia","The impact of child, family, and child protective services factors on reports of child sexual abuse recurrence",Journal of Child Sexual Abuse,,,http://dx.doi.org/10.1080/10538712.2011.622354
IB9UVM58,journalArticle,2015,"Vadapalli, Diwakar; Passini, Jessica",Repeat maltreatment in Alaska: Assessment and exploration of alternative measures,,,,
36ZVPJGZ,journalArticle,2016,"Yarnell, Lisa M.; Traube, Dorian E.; Schrager, Sheree M.",Brief report: Growth in polysubstance use among youth in the child welfare system,Journal of Adolescence,,1401971,10.1016/j.adolescence.2016.02.001
8PAW3NDP,journalArticle,2016,"Traube, Dorian E.; Yarnell, Lisa M.; Schrager, Sheree M.",Differences in polysubstance use among youth in the child welfare system: Toward a better understanding of the highest-risk teens,Child Abuse & Neglect,,1452134,10.1016/j.chiabu.2015.11.020
SHCNVUZF,journalArticle,2016,"Ayer, Lynsay; Kohl, Patricia; Malsberger, Rosalie; Burgette, Lane",The impact of fathers on maltreated youths' mental health,Children and Youth Services Review,,1907409,10.1016/j.childyouth.2016.02.006
SXXT9VFZ,journalArticle,2016,"Shpiegel, Svetlana; Simmel, Cassandra",Functional outcomes among sexual minority youth emancipating from the child welfare system,Children and Youth Services Review,,1907409,10.1016/j.childyouth.2015.12.012
QRI69MMU,journalArticle,2005,"Mitchell, Lorelei B.; Barth, Richard P.; Green, Rebecca; Wall, Ariana; Biemer, Paul; Berrick, Jill Duerr; Webb, Mary Bruce",Child welfare reform in the United States: Findings from a local agency survey,Child Welfare,,,
9QTRKNM8,journalArticle,2012,"Proctor, Laura J.; Aarons, Gregory A.; Dubowitz, Howard; English, Diana J.; Lewis, Terri; Thompson, Richard; Hussey, Jon M.; Litrownik, Alan J.; Roesch, Scott C.",Trajectories of Maltreatment Re-Reports From Ages 4 to 12: Evidence for Persistent Risk after Early Exposure,Child Maltreatment,,,http://dx.doi.org/10.1177/1077559512448472
THMAA5F5,journalArticle,1993,"Straus, Murray A.; Donnelly, Denise A.",Corporal punishment of adolescents by American parents,Youth and Society,,,http://dx.doi.org/10.1177/0044118X93024004006
PD2DRTQ6,journalArticle,2010,"Yonas, Michael A.; Lewis, Terri; Hussey, Jon M.; Thompson, Richard; Newton, Rae; English, Diana; Dubowitz, Howard",Perceptions of neighborhood collective efficacy moderate the impact of maltreatment on aggression,Child Maltreatment,,,http://dx.doi.org/10.1177/1077559509349445
8KR9988M,journalArticle,2005,"Shusterman, Gila R.; Fluke, John D.; Hollinshead, Dana M.; Yuan, Ying-Ying T.",Alternative responses to child maltreatment: Finding from NCANDS,Protecting Children: A Professional Publication of American Humane,,,
25P5TG8E,journalArticle,2009,"Munson, Michelle R.; McMillen, J. Curtis",Natural mentoring and psychosocial outcomes among older youth transitioning from foster care,Children and Youth Services Review,,0190-7409,http://dx.doi.org/10.1016/j.childyouth.2008.06.003
CQXQ5W62,journalArticle,2008,"Raghavan, Ramesh; McMillen, J. Curtis",Use of Multiple Psychotropic Medications Among Adolescents Aging Out of Foster Care,Psychiatric Services,,1075-2730,http://dx.doi.org/10.1176/appi.ps.59.9.1052
AP4T3EUW,journalArticle,2004,"Ybarra, Michele L.; Leaf, Philip J.; Diener-West, Marie",Sex Differences in Youth-Reported Depressive Symptomatology and Unwanted Internet Sexual Solicitation,Journal of Medical Internet Research,,,http://dx.doi.org/10.2196/jmir.6.1.e5
GJUAU6Z3,journalArticle,2007,"Wells, Melissa; Finkelhor, David; Wolak, Janis; Mitchell, Kimberly J.",Defining Child Pornography: Law Enforcement Dilemmas in Investigations of Internet Child Pornography Possession,Police Practice & Research,,15614263,http://dx.doi.org/10.1080/15614260701450765
2ERT7MEZ,journalArticle,2008,"Wolak, Janis; Finkelhor, David; Mitchell, Kimberly J.; Ybarra, Michele L.","Online ""predators"" and their victims: Myths, realities, and implications for prevention and treatment",American Psychologist,,0003-066X (Print); 1935-990X (Electronic),http://dx.doi.org.proxy.library.cornell.edu/10.1037/0003-066X.63.2.111
R3D9P4FI,journalArticle,2002,"Cuddeback, Gary S.; Orme, John G.",Training and services for kinship and nonkinship foster families,Child Welfare,,0009-4021,
KQ86QREZ,journalArticle,2006,"Rhodes, Kathryn; Cox, Mary Ellen; Orme, John G.; Coakley, Tanya",Foster Parents' Reasons for Fostering and Foster Family Utilization,Journal of Sociology and Social Welfare,,1915096,
94M56TQT,journalArticle,2002,"Cox, Mary Ellen; Buehler, Cheryl; Orme, John G.",Recruitment and foster family service,Journal of Sociology and Social Welfare,,,
X6NZ4QVU,journalArticle,2001,"Thompson, Sanna J.; Safyer, Andrew J.; Pollio, David E.",Differences and predictors of family reunification among subgroups of runaway youths using shelter services,Social Work Research,,,
S6RT6TWH,journalArticle,2006,"Thompson, Sanna J.; Pollio, David E.",Adolescent runaway episodes: Application of an estrangement model of recidivism,Social Work Research,,,
46V7W8P2,journalArticle,2003,"Thompson, Sanna J.; Kost, Kathleen A.; Pollio, David E.",Examining risk factors associated with family reunification for runaway youth: Does ethnicity matter?,Family Relations,,,http://dx.doi.org/10.1111/j.1741-3729.2003.00296.x
R9P4HKAX,journalArticle,2003,"Thompson, Sanna J.; Maguin, Eugene; Pollio, David E.",National and regional differences among runaway youth using federally-funded crisis services,Journal of Social Service Research,,,
BSPQ7U2W,journalArticle,2008,"Thompson, Sanna J.; Bender, Kimberly A.; Lewis, Carol M.; Watkins, Rita",Runaway and Pregnant: Risk Factors Associated with Pregnancy in a National Sample of Runaway/Homeless Female Adolescents,Journal of Adolescent Health,,,http://dx.doi.org/10.1016/j.jadohealth.2007.12.015
A2Z57TEE,journalArticle,1999,"Morton, Thomas D.",The increasing colorization of America's child welfare system: The overrepresentation of of African-American Children,Policy & Practice of Public Human Services,,,
T7XWF88N,journalArticle,1990,"Milner, Joel S.; Robertson, Kevin R.","Comparison of Physical Child Abusers, Intrafamilial Sexual Child Abusers, and Child Neglecters",Journal of Interpersonal Violence,,,http://dx.doi.org/10.1177/088626090005001003
ZJQ23WHM,journalArticle,2010,"Munson, Michelle R.; Smalling, Susan E.; Spencer, Renée; Tracy, Elizabeth M.; Scott, Lionel D.",A steady presence in the midst of change: Non-kin natural mentors in the lives of older youth exiting foster care,Children and Youth Services Review,,0190-7409,http://dx.doi.org/10.1016/j.childyouth.2009.11.005
XT4ZUCN8,journalArticle,2005,"Schuetze, Pamela; Eiden, Rina Das",The relationship between sexual abuse during childhood and parenting outcomes: Modeling direct and indirect pathways.,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/j.chiabu.2004.11.004
ZU3DKFA3,journalArticle,2000,"Tajima, Emiko A.",The relative importance of wife abuse as a risk factor for violence against children,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/S0145-2134(00)00194-0
ZKWA97GK,journalArticle,2002,"Tajima, Emiko A.",Risk factors for violence against children: Comparing homes with and without wife abuse,Journal of Interpersonal Violence,,,http://dx.doi.org/10.1177/0886260502017002002
2WZI8KIF,journalArticle,2004,"Tajima, Emiko A.",Correlates of the Co-Occurrence of Wife Abuse and Child Abuse Among a Representative Sample,Journal of Family Violence,,,http://dx.doi.org/10.1007/s10896-004-0684-7
GB5KVZDN,journalArticle,2004,"Rodenborg, N. A.",Services to African American Chidren in Poverty: Institutional Discrimination in Child Welfare?,Journal of Poverty,,,http://www.acf.hhs.gov/programs/cb/pubs/97natstudy/index.htm
M8F5X98A,journalArticle,1998,"Straus, Murray A.; Hamby, Sherry L.; Finkelhor, David; Moore, David W.; Runyan, Desmond K.",Identification of child maltreatment with the parent-child conflict tactics scales: Development and psychometric data for a national sample of American parents,Child Abuse and Neglect,,0145-2134,http://dx.doi.org/10.1016/S0145-2134(97)00174-9
G96WTT6M,journalArticle,2000,"Sullivan, Patricia M.; Knutson, John F.",Maltreatment and disabilities: a population-based epidemiological study,Child Abuse and Neglect,,0145-2134,http://dx.doi.org/10.1016/S0145-2134(00)00190-3
5XQIDZIN,journalArticle,2003,"Meyers, Steven A.; Battistoni, Jocelin",Proximal and distal correlates of adolescent mothers' parenting attitudes,Journal of Applied Developmental Psychology,,,http://dx.doi.org/10.1016/S0193-3973(03)00023-6
BX7DCBDC,journalArticle,1998,"Coohey, Carol",Home alone and other inadequately supervised children,Child Welfare,,0009-4021,
CW3N2AZT,journalArticle,1990,"Wodarski, John S.; Kurtz, P. David; Gaudin, James M.; Howing, Phyllis T.","Maltreatment and the school-age child: Major academic, socioemotional, and adaptive outcomes",Social Work,,,
VHN4UDI5,journalArticle,2001,"Shahar, Golan",Maternal personality and distress as predictors of child neglect,Journal of Research in Personality,,,http://dx.doi.org/10.1006/jrpe.2001.2330
ZT845F2F,journalArticle,2002,"Ondersma, Steven J.",Predictors of Neglect within low-SES families: the importance of substance abuse,American Journal of Orthopsychiatry,,,http://dx.doi.org/10.1037/0002-9432.72.3.383
XPGA4D6G,journalArticle,2002,"Meyers, Steven A.; Varkey, Soji; Aguirre, Angela M.",Ecological correlates of family functioning,American Journal of Family Therapy,,,http://dx.doi.org/10.1080/019261802753577575
XCRGG8NC,journalArticle,1992,"Polansky, Norman A.; Gaudin, James M.; Kilpatrick, Allie C.",The Maternal Characteristics Scale: A Cross Validation,Child welfare,,,
SVGXKNIJ,journalArticle,1985,"Polansky, Norman A.; Gaudin, James M.; Ammons, Paul W.; Davis, Kathryn B.",The psychological ecology of the neglectful mother,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/0145-2134(85)90019-5
TF3NSJIN,journalArticle,1985,"Polansky, Norman A.; Ammons, Paul W.; Gaudin, James M.",Loneliness and isolation in child neglect,Social Casework,,,
DMUKFHKR,journalArticle,2007,"Vaughn, Michael G.; Ollie, Marcia T.; McMillen, J. Curtis; Scott, Lionel D.; Munson, Michelle",Substance use and abuse among older youth in foster care,Addictive Behaviors,,0306-4603,http://dx.doi.org/10.1016/j.addbeh.2006.12.012
MM6VM2S8,journalArticle,1985,"Friedrich, William N.; Tyler, John J.; Clark, James A.","Personality and psychophysiological variables in abusive, neglectful and low-income control mothers",Journal of Nervous and Mental Disease,,,
ENDNWTTQ,journalArticle,2004,"Fox, Kathleen Earle",Are they really neglected? A look at worker perceptions of neglect through the eyes of a national data system.,"First Peoples Child and Family Review: A Journal on Innovation and Best Practices in Aboriginal Child Welfare Administration, Research, Policy and Practice",,,
6ZBFHE7A,journalArticle,1995,"Choice, Pamela; Lamke, Leanne K.; Pittman, Joe F.",Conflict resolution strategies and marital distress as mediating factors in the link between witnessing interparental violence and wife battering,Violence and Victims,,8866708,
